Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Very Good,You could hear all the sounds from the hallway and neighbouring rooms.,"Central location, room was small but nice, good for one night stay.",8.0,April 2024,"April 12, 2024",Single Room,1,Solo traveler,8,1,1,0,0,0,0,0,0,1,0
The location could not be better and the front office people were very nice,Just that experience with breakfast,"breakfast - I was with my two granddaughters 15 and 18.  I attempted to have breakfast with them and one of the girls just wanted a cup of coffee,  The attendant said she had to buy the coffee at the machine outside the restaurant and wait outside while me and my other granddaughter had breakfast....  I obviously was offended and went for breakfast somewhere else.",8.0,March 2024,"April 12, 2024",Superior Triple Room,2,Family,8,0,0,0,0,0,0,1,1,0,0
A pleasant and enjoyable stay.,I like everything in the hotel I have no complaints.,"The location is handy, everything is already there. Restaurants, pharmacy, supermarkets, train station just around the corner. And I’m loving the night life, a city that never sleeps. Restaurants remain open till late at night. This hotel is highly recommended. Thank you.",8.0,April 2024,"April 8, 2024",Double Room with Extra Bed,4,Family,8,0,0,0,0,0,0,1,0,1,0
Hotel Lloret,Basic accommodations,"Great location, very clean",8.0,April 2024,"April 4, 2024",Double or Twin Room,2,Couple,8,1,0,0,0,0,0,0,0,1,0
Great value for the money,Small rooms but that was expected.,Right on the main pedestrian street. Close to great restaurants and attractions.,8.0,March 2024,"March 31, 2024",Single Room,4,Solo traveler,8,0,1,0,0,0,0,1,0,1,0
"The staff was very polite and accommodating. We were able to store our luggage to check in, so we could enjoy the city.","The room was a little small, but you should be out exploring the city, not cooped up in your hotel room.",The location was great!,9.0,March 2024,"March 19, 2024",Double or Twin Room with City View,3,Couple,8,0,1,0,0,0,0,0,0,1,0
Wonderful,,Very friendly staff rooms were spotless,9.0,March 2024,"March 11, 2024",Double or Twin Room,3,Solo traveler,8,1,0,0,0,1,0,0,0,0,0
A stay to remember!,,"staff friendliness and helpfulness was exceptional. They made us feel very welcome from the start. Location is in the middle of so many great attractions, we loved it! We were surprised that we actually had a whole apartment and not just a room. It was great.",9.0,February 2024,"March 4, 2024",Double or Twin Room with City View,1,Couple,8,1,0,0,0,1,0,0,0,1,0
I really enjoyed my stay and would stay there again.,,Good value for money and convenient location. The staff were also friendly.,9.0,February 2024,"February 24, 2024",Single Room,3,Solo traveler,8,0,0,0,0,1,0,0,0,1,0
Spot on!,,"Small but comfortable this hotel is perfectly located, at the centre of everything and very handy for the airport bus. Bonus vending machines with coffee, soft drinks and alcohol",8.0,February 2024,"February 24, 2024",Double or Twin Room with City View,4,Couple,8,0,0,0,0,0,0,1,0,0,0
Very Good,"Room would be a little small for larger people, but was fine for us.","Excellent location, friendly staff, great value for money.",8.0,February 2024,"February 16, 2024",Double or Twin Room with City View,3,Couple,8,0,1,0,0,1,0,0,0,1,0
Served our purpose very well. Willingly stay next time there.,The piping in our and adjacent rooms were noisy. Night long a low sounding symphony of water pipes. And the bath sink smell was unpleasant.,"The location is perfect. Breakfast was exceptionally good compared to most hotels of Spain serving 'continental'. Staff was kind, helpful and smiling - which we value most. Yes the room was very tight but quite well adjusted.",8.0,February 2024,"February 13, 2024",Double or Twin Room with City View,3,Couple,8,1,1,1,0,1,0,1,0,1,0
Wonderful,All good,"Everything really, location, breakfast, staff",9.0,February 2024,"February 10, 2024",Superior Triple Room,1,Family,8,0,0,0,0,1,0,1,0,1,0
Great,"It's very noisy at night,but it's normal,because we were at the centre of the city","Nice location, very kind people.",9.0,January 2024,"January 23, 2024",Double or Twin Room with City View,2,Couple,8,0,0,0,0,0,0,0,0,1,0
Very Good,"After booking this hotel I've received several scam messages saying I should verify my credit card.  Obviously, I didn't do it. But either the hotel, or Booking.com should take some measures to prevent this kind of criminal activity.",Perfect location. Very friendly staff.Good value for money.,8.0,January 2024,"January 22, 2024",Double or Twin Room,1,Couple,8,0,0,0,0,1,0,0,0,1,0
Very Good,,The location near with the public transport and surrounding with shop and cafe.,8.0,January 2024,"January 22, 2024",Double or Twin Room,3,Couple,8,0,0,0,0,0,0,0,0,1,0
It's worth to stay at this hotel,The temperature of the room is too high.,"The location is very near some famous tourist attractions, there are many restaurants and shops.  The price of the breakfast is reasonable.",8.0,January 2024,"January 20, 2024",Classic Quadruple Room,3,Family,8,0,1,0,0,0,0,1,0,1,0
Really good,,"Close to train ,all other places.I would stay again",9.0,January 2024,"January 19, 2024",Double or Twin Room,1,Group,8,0,0,0,0,0,0,0,0,0,0
Very Good,,The location is perfect.  Very helpful staff 👏.  Comfortable beds.,8.0,January 2024,"January 17, 2024",Triple Room,2,Family,8,1,0,0,0,1,0,0,0,1,0
Very Good,,Breakfast very good,8.0,November 2023,"January 11, 2024",Double or Twin Room,2,Couple,8,0,0,0,0,0,0,1,0,0,0
Wonderful,"The room overlooked the side street that opened from La Rambla and it was loud day and night with closed windows too. The room and the bathroom were clean, but the doors were falling apart and looked rotten in the bottom.","The hotel is in the heart of Barcelona super close to everything and easy to access from the airport too.. The front desk attendants were kind and helpful, check in was smooth and easy.",9.0,December 2023,"January 9, 2024",Double or Twin Room,2,Solo traveler,8,0,1,1,0,1,0,0,0,0,0
Very Good,Nothing to complain about,excellent location,8.0,October 2023,"December 30, 2023",Superior Triple Room,2,Solo traveler,8,0,0,0,0,0,0,0,0,1,0
I would recommend this property for booking. Price is good for the prime location that offers.,Room was a little bit small for 3 persons and no refrigerator in room.,Perfect location. Very clean and they can clean your room every day of requested.,8.0,December 2023,"December 28, 2023",Superior Triple Room,3,Family,8,1,1,0,0,0,0,0,0,1,0
Excellent place to stay.,,Excellent location and incredible relation price value.,9.0,December 2023,"December 28, 2023",Superior Triple Room,1,Family,8,0,0,0,0,0,0,0,0,1,0
wonderful hotel,,is well breakfast. excellent,9.0,December 2023,"December 27, 2023",Double or Twin Room with City View,3,Solo traveler,8,0,0,0,0,0,0,1,0,0,0
Very Good,Room was a little small and shower not too great but was expecting the room to be small as the hotel was an old building.,"Fantastic central location and great price! Nice continental breakfast in pretty dining room. Friendly and helpful staff, good value for money.",8.0,December 2023,"December 22, 2023",Single Room,3,Solo traveler,8,1,1,0,1,1,0,1,0,1,0
Wonderful,,"The position, the staff, the view",9.0,November 2023,"December 19, 2023",Double or Twin Room,2,Couple,8,0,0,0,0,1,0,0,0,1,0
Great location,One young guy at the reception was sleeping. If there wasn't for the shift change I would've had to enter the reception desk and take my room key on my own. I would not accept not being able to get into my own room over the front desk not been manned.,Location is great and overall it is a good value. I am realistic and don't expect more than I paid.,8.0,December 2023,"December 15, 2023",Superior Double Room,3,Couple,8,0,1,0,0,0,0,0,0,1,0
Very Good,,"Good value for money and location.   It's basic, inexpensive, a little noisy but I expected this given the location and price.  Totally worth it for what I needed.",8.0,December 2023,"December 14, 2023",Single Room,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0
Wonderful,Small,"The receptionists were very nice and polite
We're able to have extended 1hr. And also the hotel has a storage for your luggage.
Location of hotel is impeccable.",9.0,December 2023,"December 4, 2023",Superior Double Room,2,Group,8,1,0,0,0,1,0,0,0,1,0
I had a perfect mini vacation and loved this little hotel in the heart of the city,The only minor discomfort was that as my single room bathroom didn't have a door the air got a little humid after showering.,"Perfect location in the heart of Barcelona. The hotel was very cozy, the staff really friendly and helpful and the room small but extremely clean and well maintained. Breakfast was good too. I loved staying in this hotel. Just a heads up though, there is definitely noise from La Rambla. Did'n t bother me though as I use earplugs when sleeping.",8.0,November 2023,"November 28, 2023",Single Room,4,Solo traveler,8,1,1,1,0,1,0,1,0,1,0
Family getaway,A little bit dated,"Very clean, Location, friendly staff",9.0,November 2023,"November 28, 2023",Triple Room,2,Family,8,1,0,0,0,1,0,0,0,1,0
Very Good,No coffee /tea facilities in room,"Only disappointment was no tea or coffee making facilities in the room
Great location. Great staff. Breakfast had a super choice. Room very good",8.0,November 2023,"November 28, 2023",Double or Twin Room with City View,3,Family,8,1,1,1,1,1,0,1,0,1,0
Good budget hotel in the heart of Barcelona. Good breakfast choice.,Room was a little on the small side. Could be claustrophobic in the heat of summer.  Would not be able to open window due to traffic noise.,Location is very good. Close to transport links and airport transfer.,8.0,November 2023,"November 25, 2023",Double or Twin Room with City View,4,Couple,8,0,1,0,1,0,0,0,0,1,0
We loved Barcelona and our choice of hotel. We would do it again!,The room was a wee bit small 😊,"Good location, friendly staff, interesting common areas",8.0,November 2023,"November 21, 2023",Double or Twin Room with City View,3,Couple,8,0,1,0,0,1,0,0,0,1,0
"Peaceful, pleasant, perfect for my little vacation",I wish there was a pitcher of water and some coffee  in the lobby area so guests could take a break in their day or something. Just a nice amenity,The location was perfect for walking everywhere or taking the metro. The breakfast had a wide variety that could cater to anyone and tasted fresh,9.0,November 2023,"November 19, 2023",Single Room,2,Solo traveler,8,0,0,0,1,0,0,1,0,1,0
Lloret Ramblas is excellent for location and cleaning service.,WiFi connection was very slow.,"Location of hotel is fantastic, service was great, and breakfast was excellent.",8.0,November 2023,"November 19, 2023",Double or Twin Room,4,Group,8,0,0,0,1,1,0,1,0,1,0
Very Good,The balcony was not a real balcony.,Excellent location and hotel staff.,8.0,November 2023,"November 19, 2023",Double or Twin Room,1,Couple,8,0,0,0,0,1,0,0,0,1,0
Wonderful,,I liked to much and enjoyed,9.0,November 2023,"November 17, 2023",Classic Quadruple Room,1,Group,8,0,0,0,0,0,0,0,0,0,0
Perfect location no stress will return,It was fine,"Location
Atmosphere 
Staff",9.0,November 2023,"November 13, 2023",Single Room,2,Solo traveler,8,0,0,0,0,1,0,0,0,1,0
Great Location at a great price!,"The rooms really need updating, it was a bit old and stuffy.","The location is absolutely perfect, and the price was also amazing. A great little boutique hotel literally in the heart of La Rambla. Close to everything, train stations, restaurants, supermarket, shopping, as well as La Boqueria Market.",7.0,September 2023,"November 1, 2023",Triple Room,3,Couple,8,0,1,0,0,0,0,1,0,1,0
Definitely next time I come to Barcelona I will stay here only and recommend it to the others aswell,Why do you have to leave the keys at the reception before going out ? This is the only thing I didn’t like.,Excellent Location !!! Everything is just a walk away … the Areobus stop for the bus between airport and catalunya placya is 5 mins walk from the hotel …. Breakfast was also good decent and just above basic,9.0,October 2023,"October 27, 2023",Double or Twin Room with City View,4,Solo traveler,8,0,0,0,0,0,0,1,0,1,0
Wonderful,,"Very convenient to everywhere in the heart center.
And the staff are very friendly and helpful.",9.0,October 2023,"October 26, 2023",Double or Twin Room with City View,1,Solo traveler,8,0,0,0,0,1,0,0,0,1,0
