Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Good stay overall,We could not figure out how to keep the room cool without opening the windows. The cool settings on the individual ac unit did not seem to work.,"The location was great because it is right next to the train station, but it was not too loud to sleep in our room. The checkin process was easy and the beds were comfortable.",8.0,March 2024,"March 16, 2024",Double or Twin Room,1,Group,7.4,1,1,0,0,0,0,0,0,1,0
Very Good,,Location was fantastic and staff were very friendly and helpful.,8.0,March 2024,"March 16, 2024",Double or Twin Room,2,Family,7.4,0,0,0,0,1,0,0,0,1,0
Comfortable and convenient stay,,"Excellent location, right in front of the train station. They have a 24h front desk which was ideal for us who arrived quite late in the evening. The room was fairly clean and comfortable.",7.0,February 2024,"March 14, 2024",Double or Twin Room,1,Couple,7.4,1,0,0,0,0,0,0,0,1,0
"Relatively good value for the price, good location. I would stay again.","The water did not flow properly from the tub, I had to stop the shower many times in order to avoid staying in dirty water. The light in the room kind of dim. In the morning one elevator was broken and the only other one was totally insufficient.","Compared to American breakfasts, excellent. Perfect location since I arrived by train. Room was clean.",8.0,March 2024,"March 9, 2024",Small Double Room,1,Couple,7.4,1,1,0,1,0,0,1,0,1,0
Decent place but not family friendly.,"Parts of the hotel were under renovation. They were painted the walls outside our room the entire trip. The breakfast was subpar. Bacon and egg every day and they constantly ran out of one or the other. They only had one high chair in the breakfast area and were limited in cribs for the rooms (we were lucky enough to get one). Lastly, the room had no plugs near the bed and we had to get an extension cord to plug out personal items in.",The location was fantastic. Less than Five minutes walking from the main train station in Rome. Made travel so easy.,7.0,March 2024,"March 8, 2024",Double or Twin Room,4,Family,7.4,0,1,0,0,0,0,0,1,1,0
Good location.,"A little maze to reach your room, it was dark on the hallway and we had to go back to reception to request the maintenance as the lights and keys are broken. Seems they didn’t even prepare our room despite that we got there early and left our staff as there is no early check in. The room smells as well and the sheets are not properly done. No bedside plug as well so we had to remove the TV plug to use for charging. The view was like a big balcony/terrace ruins.","It’s right next to the Termini Station and is accessible to everything 😃 
The staff are accommodating that they kept our luggages since we came early but cannot check in yet.",6.0,March 2024,"March 7, 2024",Small Double Room,1,Couple,7.4,0,1,0,0,1,1,0,0,0,1
"We were in Roma to explore the wonders, not stay in the room. The staff and services were great.",The room had potential to be exceptional but needed to be worked on. The drop ceiling tiles were not in place the bathroom had panels buckled out from the wall and there was an extra window between the inside main windows and the metal shutters that was broken and hanging down with sharp corners that was over the bed so we could not use the window at night.,Close to the train station. Easy to get directions from anywhere in Roma due to the proximity to the station.,7.0,March 2024,"March 6, 2024",Small Double Room,3,Couple,7.4,0,1,0,0,0,0,0,0,1,0
Better than a B&B...,"Some room are beautifull, modern and confortable... other olf fashioned. breakfast in not various and less quality.","Madison hotel has restructured his own rooms in this moment. location in in front of termini station, it is very good for white collar workers or for 1 or 2 night in city.",6.0,February 2024,"March 1, 2024",Single Room,1,Solo traveler,7.4,1,1,0,0,0,0,0,1,1,0
This hotel met all my needs and I would use it again.,Trying to find my room in what felt like a small maze with very confusing directions as to how the room numbering works!,I chose this hotel because of its location which suited my needs perfectly. My plan was to travel onwards by train the day after my arrival in Rome; access to the railway station was directly across the street. Breakfast was not included in my room rate but only cost €7 which I thought was excellent value. Good selection of food on the breakfast buffet and plenty of seating available.,7.0,January 2024,"February 16, 2024",Double or Twin Room,1,Solo traveler,7.4,1,1,0,0,0,0,1,0,1,0
Excellent location. Perfect for a short stay!,"It took some time to find our room as the hotel inside is a bit of a labyrinth and the room numbers are not clearly indicated in the corridors.
Good breakfast but quite chaotic.
The toilet in the bathroom was too close to the wall in front: there wasn’t enough space to properly sit!","It’s right across Termini train station. Very nice staff at the reception. Clean room, comfortable bed.",8.0,February 2024,"February 16, 2024",Double or Twin Room,1,Couple,7.4,1,1,0,1,1,0,0,1,0,0
Overpriced but convenient,"The room had a fridge - it had leaked because the door had been left open. The ceiling covers for access to the lights on entering the room, had been dislodged, the bidet plug did not hold down so this was out of action, the headboard and doors were not clean.  There were no snacks.  The mattress is memory foam and was way too soft.",The location is optimum for getting to and from the station. Clean bedding. Ample sized bathroom.,6.0,February 2024,"February 13, 2024",Small Double Room,1,Solo traveler,7.4,1,1,0,0,0,0,0,0,1,0
Suitable for a quick stopover,A bit tired,Ideal for a quick stopover arriving late at night. Staff were pleasant. Perfect location by the station when arriving late at night. Front desk manned 24hrs,8.0,February 2024,"February 6, 2024",Small Double Room,1,Couple,7.4,0,0,0,0,1,0,0,0,1,0
great and convenient hotel,"it is not a luxury hotel, so you expect it is a basic hotel. Wi-Fi did not work all the time.","location! 2min from the station, the room is clean, bed is comfortable. Ideal for a short stay. The main thing for me was location and cleanness.",8.0,January 2024,"February 5, 2024",Small Double Room,2,Solo traveler,7.4,1,0,0,0,0,0,0,0,1,0
Very Good,"No tea or coffee facilities in the rooms, slightly dated decor","Good location, comfortable and clean beds and very pleasant staff",8.0,February 2024,"February 5, 2024",Small Double Room,3,Couple,7.4,1,1,0,1,1,0,0,0,1,0
Very Good,There is no sockets near the bed.,Good location.,8.0,January 2024,"January 30, 2024",Single Room,3,Solo traveler,7.4,0,1,0,0,0,0,0,0,1,0
Very Good,"Room was a bit small, and sometimes smelled damp (no ventilation fan in bathroom), but was perfect for just me. Would've been too small for 2 people but that may have just been the room that I had.","Friendly staff, great location, and great value for money",8.0,January 2024,"January 26, 2024",Small Double Room,4,Solo traveler,7.4,0,1,0,0,1,0,0,0,1,0
Very good location and price quality,"Can’t open the windows, can’t see the light coming in except from the bathroom",Right beside railway station,8.0,January 2024,"January 24, 2024",Small Double Room,1,Solo traveler,7.4,0,1,0,0,0,0,0,0,0,0
Good,WiFi and facilities,Good breakfast and location,7.0,January 2024,"January 24, 2024",Single Room,3,Solo traveler,7.4,0,0,0,1,0,0,1,0,1,0
Good,Facilities and poor WiFi,Good tasty breakfast,7.0,January 2024,"January 24, 2024",Small Double Room,1,Solo traveler,7.4,0,0,0,1,0,0,1,0,0,0
Good,"The toilet was not as good as expected, the water drains very slowly.",location and breakfast was very good.,7.0,January 2024,"January 23, 2024",Double or Twin Room,2,Family,7.4,0,0,0,0,0,0,1,0,1,0
Good,,Maintenance worker and receptionist,7.0,January 2024,"January 23, 2024",Small Double Room,1,Couple,7.4,0,0,0,0,1,0,0,0,0,0
