Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
A great location and hotel,,Location and overall hotel was good,9.0,May 2024,"May 11, 2024",Carlton Club Room,2,Family,9.2,0,0,0,0,0,0,0,0,1,0
Very Good,Menu .,"Location, cleanliness, the breakfast",8.0,May 2024,"May 10, 2024",Deluxe Room,2,Family,9.2,1,0,0,0,0,0,1,0,1,0
Wonderful,,"the breakfast was  very nice with  a very big variety of foods 

the location of the hotel is very central and easy to get to most tourist attraction's  in town 

the staff was very friendly and always helpful  especially would like to mention Mr Jack Kook from the concierge 
he was wonderful always smiling and ready to assist",9.0,May 2024,"May 10, 2024",Deluxe Room,3,Couple,9.2,0,0,0,0,1,0,1,0,1,0
Type room problem,"After choosing one big bed from booking application, there was 2 option 1. two single bed and 2. one big bed. We choose one big bed because we are cople on honey moon, and we also send message which was immediatley responded that they can not guaranty. After we come there was no big bed room. But we wait lottle bit longer and they found one. This is absolutely not correct for this price range, and not correct for choice we make when we make from booking application. This is not single case, because we book today again and same story. This is not profesional for 5 star hotel in this price range, people must know what they pay and what they get. Now we are waiting  again for response which type of room they will give us, also after we choose one big bed... Not good, not to recommend for couples , and people who like to stay together.",Very nice location and very nice hotel. Good staff. Very pleasant stay. We recommend for business stay and single's.,8.0,May 2024,"May 10, 2024",Executive Room,3,Couple,9.2,0,1,0,0,1,0,0,0,1,0
Exceptional,,Hotel Excellent,10.0,May 2024,"May 9, 2024",Deluxe Room,1,Couple,9.2,0,0,0,0,0,0,0,0,0,0
An incredible stay and can't wait to come back already!,Really nothing to say! It was great on all levels.,Location was fantastic! Right next to the Em District. We loved going to Emsphere for the amazing food court.,10.0,May 2024,"May 9, 2024",Deluxe Room,3,Group,9.2,0,0,0,0,0,0,1,0,1,0
Exceptional,"Might be the food for the breakfast buffet, which I think it can be improved based on Calrton standard of requirements for its image.",The services provided by the staff and hotel environment,10.0,May 2024,"May 9, 2024",Deluxe Room,2,Solo traveler,9.2,0,0,0,0,1,0,0,1,0,0
Fabulous stay with great staff,,"Clean, great service, extremely accommodating of many things we required support with",10.0,May 2024,"May 9, 2024",Executive Suite,1,Group,9.2,1,0,0,0,1,0,0,0,0,0
Comfortable stay in busy Bangkok,Nothing to complain about.,"Very central located, room with a room, nice shower, access to the executive lounge with snacks and drinks all day, big breakfast buffet, nice gym.",9.0,May 2024,"May 8, 2024",Carlton Club Room,3,Solo traveler,9.2,1,0,1,0,0,0,1,0,1,0
Top quality,,Real luxury hotel with all the things you need for a great vacation,10.0,May 2024,"May 6, 2024",Deluxe Room,4,Family,9.2,0,0,0,0,0,0,0,0,0,0
Amazing stop over for 1 night best hotel,Nothing atall,Clean amazing location staff was so helpful and friendly,10.0,May 2024,"May 5, 2024",Deluxe Room,1,Couple,9.2,1,0,0,0,1,0,0,0,1,0
Casual but elegant,,"Beautiful elegant hotel with a very gracious, friendly and helpful staff in an ideal location.",10.0,May 2024,"May 5, 2024",Deluxe Room,2,Solo traveler,9.2,0,0,0,0,1,0,0,0,1,0
Wonderful,Too crowded area,Everything,9.0,April 2024,"May 4, 2024",Deluxe Room,5,Family,9.2,0,0,0,1,0,0,0,0,0,0
I miss it already!,"During check-in I was told that breakfast wasn't included and I had to pay extra for it. Secondly, I was asked to leave a deposit of 2K baht per night(which added up to 12K baht for my entire stay) as security deposit and I was taken aback. A small argument ensued with the staff about it as I told them I wasn't informed and that I didn't prepare enough cash and I didn't have a credit card. It was quickly resolved as they graciously allowed for me to just put down 3K baht for the entire stay! Thankful for the top notch service from team Carlton! 🙏🏻 
I will like to suggest to Booking.com to maybe be very intentionally clear about certain fees and charges and what's included and not included as part of the booking. 
I know it sounds like a noob mistake on my part, but it will do first time Booking.com platform users who are trying out a 5 star hotel for the first time(😂) like me, a great deal of help and save us from surprises like this. 🙏🏻","Very friendly staff! Who made me feel like family, especially when I was already missing home and feeling lonely the 2nd half of my solo trip. Mr Phun, one of the lobby front man, felt like my long lost uncle. Jiraporn, very kind and outstanding room attendant. Last but not least, a nice gentleman at the check in reception, I didn't get his name but he has the stare of a cat!(Very kind guy though!) All in all, good stay!! 👍🏻",10.0,April 2024,"May 1, 2024",Deluxe Room,6,Solo traveler,9.2,1,0,1,0,1,1,0,1,0,0
"Amazing, we will come again",Nothing,Very comfortable big and clean rooms,10.0,April 2024,"April 30, 2024",Family Room,1,Family,9.2,1,0,0,0,0,0,0,0,0,0
Exceptional,Breakfast is not included in our deal. 20 euro per person is quite expensive by local standard,"Super friendly staff, good facilities, clean, close to the subway, easy to reach.",10.0,April 2024,"April 30, 2024",Family Room,3,Family,9.2,1,0,1,0,1,0,0,1,0,0
FANTASTIC!!!,More luggage space in room would be great - maybe a bench shelf next to tv where a large bag could be opened up fully.,"Staff was fantastic from checking to check out.  Very helpful and courteous especially front desk and baggage guys.
Recommend all to give this place a special look when planning your trip.",10.0,March 2024,"April 29, 2024",Carlton Club Room,6,Couple,9.2,0,1,0,1,1,0,0,0,0,0
