Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
An excellent hotel for proximity to the airport. Some airport noise but this is to be expected,The cooked breakfast wasn't great but the choice available exceeding expectations,Great room and staff and excellent free transfer to and from the airport,9.0,April 2024,"April 29, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,1,0,0,0,1,0,0,1,0,0
We only checked in for day use as we had a flight out after midnight.,,Great location near the airport with good shuttle service if booked ahead of time.,9.0,April 2024,"April 29, 2024",King Room - Non-Smoking,1,Couple,8.8,0,0,0,0,1,0,0,0,1,0
Exceptional,"No such thing, all perfect and above my expectations!","I highly recommend staying in La Quinta when you need a night close to the airport. Perfect prices, very good restaurant and incredibly helpful personnel. The airport transfer back and forth works fantastic but make sure you follow the indicated instructions and book your transfer from the airport to the hotel enough time before via whatsapp. The way back to the airport can be scheduled upon arrival even if it's the next day. The room isn't equipped with iron board nor iron itself, but there was no problem in requesting ones at the reception desk. I will definitely be back there!",10.0,April 2024,"April 27, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,1,0,0,0,1,0,1,0,0,0
Very Good,Scheduled transfer from airport but had to wait 45 minutes after confirmed time for pickup. Would have taken taxi if we had known,"Close to airport, clean, good food",8.0,April 2024,"April 25, 2024",King Room - Non-Smoking,1,Couple,8.8,1,0,0,0,0,0,1,0,0,0
Wonderful,,Close to the airport and rxcellent bed!!!also very calm and rooms are spacious.,9.0,April 2024,"April 22, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Group,8.8,1,0,1,0,0,0,0,0,0,0
Exceptional,,"Hotel is located close to the airport with complimentary shuttle service (althout the waiting time was very long and communication about that wasn't clear - especially from the airport, opposite way - all information provided was clear). Room was big, clean and well equipped. Hotel staff was very nice and helpful. I liked all extra facilities in the hotel. Hotel is very safe: it has guarded entrance and very carefully secured fence.",10.0,February 2024,"April 21, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,1,0,1,0,1,0,0,0,0,0
No bad,"“Some” of The staff at the bar and restaurant can improve their customer service skills, they rather interact with each other or with their phones and some of them can do with a smile.",Very clean,8.0,April 2024,"April 20, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,1,0,0,0,0,1,0,1,0,0
Wonderful,Nothing,"Convenient location, lovely spacious clean rooms, good friendly service.",9.0,April 2024,"April 20, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.8,1,0,1,0,1,0,0,0,1,0
short stay but nice,,excellent staff with timely airport transfer. besides they provided room upgrade for my stay. breakfast start time is nice so that i can finish and catch my flight,9.0,April 2024,"April 20, 2024",King Room - Non-Smoking,1,Couple,8.8,1,0,0,0,1,0,1,0,0,0
Very Good,No breakfast included,"Spacious room, comfortable bed, transfer service to and from the airport",8.0,April 2024,"April 18, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,1,0,1,0,1,0,0,1,0,0
Exceptional,,O restaurante do hotel é excelente.,10.0,April 2024,"April 18, 2024",Queen Room with Two Queen Beds - Non-Smoking,4,Solo traveler,8.8,0,0,0,0,0,0,1,0,0,0
Very nice final night on  our trip after weeks of cramped accommodation.,There was a bit of a mix up over the shuttle.  We were required to sent a message but we were off line as we were in the air and then in part of the airport that didn't have any reception.  Thus we had to wait for over an hour for the transfer which was only a short trip of about 3km.  A better system for picking up guests could be applied maybe.,It was very spacious.  We had a twin room and the beds were both double/queen beds.  The ambience of the  hotel was excellent.  It was close to the airport.,9.0,April 2024,"April 18, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.8,1,0,1,0,0,0,0,0,0,0
"Large spacious rooms with various options at breakfast, comfortable beds and free shuttle service was so convenient and",sauna and pool were closed,"Large spacious rooms with various options at breakfast, comfortable beds and free shuttle service",10.0,April 2024,"April 17, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,1,0,1,0,1,0,1,0,0,0
A perfect place ready for flight next day,,Very efficient pick up service from and to the airport. Tea and coffee maker in room. Plus a huge comfy bed!,10.0,April 2024,"April 15, 2024",King Room - Non-Smoking,1,Couple,8.8,1,0,0,0,1,0,0,0,0,0
Perfect for the purpose,Pool was being fixed 🥲,Clean-Staff- The transfer guy was amazing!!!,10.0,April 2024,"April 14, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,1,0,0,0,1,0,0,0,0,0
Delightful once we arrived,,Use the airport shuttle to ensure safety as we were scammed/pirated by private taxi. Hotel was exceptional in helping us recover,10.0,March 2024,"April 13, 2024",Queen Room with Two Queen Beds - Non-Smoking,2,Family,8.8,0,0,0,0,0,0,0,0,0,0
Great place for air travel overnights!,No bed linens on the sofa bed.,Shuttle service was great except for all the information required to reserve it for transport from the airport to the hotel.,9.0,April 2024,"April 10, 2024",Deluxe Family Room - Mobility Access/Non-Smoking,1,Family,8.8,0,1,0,0,1,0,0,0,0,0
Excellent stopover hotel for next day flight,Nothing,Everything the free shuttle service to and from airport good details of where to meet the driver. Free water in room which is large and has coffee & tea maker also. Great place for a stopover for next day flight.,10.0,April 2024,"April 9, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.8,1,0,0,0,1,0,0,0,0,0
Excellent place to stay near the airport 👍,,The location was excellent & hotel provided free airport transport both the ways. Rooms were very clean & comfortable. Restaurant was good but bit pricey.,9.0,March 2024,"April 9, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Couple,8.8,1,0,0,0,0,0,1,0,1,0
Good night’s rest at a typical airport hotel chain. Reliable!,the construction made it difficult to get to. Not hotel’s fault,Exactly what I expected from a La Quinta airport hotel. No worries and very comfortable bed,9.0,April 2024,"April 8, 2024",King Room - Non-Smoking,1,Couple,8.8,1,0,0,0,0,0,0,0,0,0
Great if need to be close to airport with shuttle services included,"Bit far from city centre and tourist attractions. Staff were not great with tourism suggestions or idea prior to my arrival when i messaged and asked.
Security great but would make it hard to get in and out of hotel premises.","Very close to airport. Airport shuttle is included.
The facilities both within rooms and hotel are great. Pool, gym and restaurant all available",9.0,March 2024,"April 8, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.8,1,0,1,0,0,1,1,0,0,1
Exceptional,,shuttle,10.0,April 2024,"April 6, 2024",King Room - Non-Smoking,1,Family,8.8,0,0,0,0,0,0,0,0,0,0
Wonderful,,Free transfer from and to the airport was very convenient 😊,9.0,April 2024,"April 4, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Couple,8.8,0,0,0,0,0,0,0,0,1,0
Perfect for an overnight layover,,This was just an overnight stay between flights but the room was very comfortable and the kids slept well. Staff were helpful with any questions we had.,8.0,March 2024,"April 4, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.8,1,0,0,0,1,0,0,0,0,0
Great for overnight between flights,,This was just an overnight stay between flights but the shuttle service really helped to get my family with two small children into bed quickly. Staff were helpful,8.0,March 2024,"April 4, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.8,1,0,0,0,1,0,0,0,0,0
