Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Good value for the quality and convenience.,Nothing,"Really close to Terminal 3 which was so easy to walk to at the end of a long flight. Check in was easy, and the room was very comfortable. Breakfast had lots of good choices and was replenished frequently. They arranged transportation for us the next day and it was on time and comfortable.",9.0,February 2024,"February 3, 2024",Superior Queen Room,1,Couple,8.2,1,0,0,0,0,0,1,0,0,0
Good location when flying from the airport. You can walk via the footbridge from terminal 3 but need a 10 minute taxi fo,,Great location next to the airport.,9.0,January 2024,"January 19, 2024",Superior Twin Room,1,Couple,8.2,0,0,0,0,0,0,0,0,1,0
It was good overall. Staff are helpful.,"No slippers, no cutlery (eg teaspoon for coffee)",Close to terminal 3,9.0,January 2024,"January 17, 2024",Superior Twin Room,1,Family,8.2,0,0,0,0,0,0,0,0,0,0
Wonderful,,Great place to rest before a flight. Location is so close to airport and fancy mall where we could grab some quality dinner for the night.,9.0,December 2023,"January 16, 2024",Deluxe Twin Room,1,Family,8.2,0,0,0,0,0,0,1,0,1,0
"Location, location","The sink clogged, toilet was not as clean. We booked 2 rooms and one room has most of the amenities hair dryer and bathrobes and the other one was lacking. The tv was very outdated.","Location is great, close to NAIA terminal 2 and 3, accessible through Runway Manila, staff are helpful and friendly and the buffet breakfast is good.",8.0,January 2024,"January 16, 2024",Superior Twin Room,2,Family,8.2,0,1,0,0,1,0,1,0,1,0
Convenient stop over,Busy slow service at the restaurant,How close to the airport it is,8.0,January 2024,"January 16, 2024",Superior Queen Room,1,Couple,8.2,0,0,0,0,0,1,0,1,0,0
good hotel to stay at if you are just passing through Manila. No real frills with the hotel.,The size of the bed options.,Breakfast was excellent. Rooms were on the smaller side. Beds are small. Rooms were clean.,8.0,December 2023,"January 15, 2024",Deluxe Twin Room,2,Family,8.2,1,1,0,0,0,0,1,0,0,0
Excellent stay and staff very pleasant and helpful.,All good,Everything,9.0,December 2023,"January 12, 2024",Deluxe Twin Room,1,Couple,8.2,0,0,0,0,0,0,0,0,0,0
Perfect for overnight stay especially when you have a  connecting flight the next day,,location,7.0,January 2024,"January 10, 2024",Superior Twin Room,1,Family,8.2,0,0,0,0,0,0,0,0,1,0
Wonderful,All ok,Friendly staff,9.0,December 2023,"January 6, 2024",Superior Twin Room,2,Family,8.2,0,0,0,0,1,0,0,0,0,0
Very Good,"Rooms should be problem-free when released to guests (tv reception, drainage etc.)",Location is the best.  Quick in and out kudos to the exceptional front desk people.,8.0,December 2023,"December 31, 2023",Superior Twin Room,2,Family,8.2,0,1,0,0,0,0,0,0,1,0
