Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
A lot of unnecessary stress at arrival.,"Hated the carpet in the room.  I would prefer hard flooring for sanitary purposes.  The Ballet person was not at the front of the hotel when we arrived with our rental car and lots of luggage.
There was not enough space at the front to park the car to wait for a Ballet person.  We drove the car into the parking lot used by the hotel but not owned by the hotel and could only be Ballet parked.  There was no one to help with the luggage.  We were told to drive back to the front of the hotel.  It was a very stressful and unorganized situation.  We did not want to park the car in Ballet because we just needed to unload the luggage into our room and then return the car to the rental office.  
A hotel sign is needed we’re one must turn to find the hotel.  The carne asada tacos did not have flavor and very plain but the chicken soup was very tasty.",The location across from Terminal 1.  has a working restaurant.  Very large and nice bathroom.  Comfortable and clean beds.,7.0,January 2022,"February 1, 2022",Deluxe Two Beds,1,Couple,8,1,1,0,1,0,0,1,0,1,0,0.0007363353788928123
Great,Nothing. Coffee and tea facilities in the room would have been nice,"Nice hotel, well designed, comfortable rooms, excellent location very close to airport",9.0,October 2023,"October 21, 2023",Deluxe Queen,1,Couple,8,1,1,0,1,0,0,0,0,1,0,0.0007336795243904803
"Ok stay for one night close to the airport, but definitely in need of some renovations.","the room smelt of old cigarette smoke and was just generally tatty. the towel rail was hanging off, the door to the wardrobe was really difficult to open and just felt extremely dated and tired.","big room, really close to the airport so was very convenient",6.0,February 2022,"February 10, 2022",Deluxe King,1,Couple,8,1,1,0,1,0,0,0,0,1,0,0.0007336795243904803
Very Good,No hooks in the bathroom to hang towels. Had to hang them in the closet!,"Super easy to access from terminal 1 across a foot bridge, very convenient for an early morning flight. Clean and comfortable room,  generally quiet. Complimentary toiletries were very nice",8.0,November 2023,"November 27, 2023",Deluxe Queen,1,Solo traveler,8,1,1,0,1,0,0,0,0,1,0,0.0007336795243904803
very inadequate….disappointed,"room, price, restaurant","I’ve stayed there many times in the  past , but this time they put me in a room that was far away even though my husband had walking issues. They changed the room, but the sink faucet made noise and turned in several times during the night.
The price has double since I started staying here a couple of years ago. Not worth the price.  
There was no coffee maker in the room and breakfast is not included, and the restaurant Huerta, was not very good either.
I travel through Mexico City a couple of times a month, but will choose another hotel in the future. It is a very convenient location, but otherwise it leaves a lot to be desired.",4.0,November 2022,"November 22, 2022",Deluxe Queen,1,Couple,8,1,1,0,0,0,0,1,1,1,0,0.0007290698531773434
Good,"The window to the outside was blurred.
The bed has wheels and its constantly moving. There is no way of blocking them. Why?
I used the transport service provided to go to Terminal 2, the person who packed my bags into the van demanded a tip in a rude maner to every single customer including me. The driver of the van (different person) on the other hand was really nice and unloaded the bags professionally.
I know in hotels things are more expensive than usual, but it is the first time I had to pay 10 times the price compared to the outside for a bottle of water in the Starbucks by the Lobby","Spacious bathroom.
The room is really clean.
In general friendly staff besides the one bad apple.
Great location for the airport and very easy walking  access to Terminal 1.
Free transport to Terminal 2.",7.0,March 2024,"March 20, 2024",Deluxe Queen,1,Couple,8,1,1,1,1,1,1,0,0,1,0,0.0007282425262354799
"all in all a good experience. Good beds, bad restaurant, and we were a little unlucky with noise from the renovation at","there was alot of renovation going on, and we were disturbed by it very early one morning.  Also…. Im pretty sure that the food at the restaurant was warmed in the microwave.  I would expect ALOT more for the price we paid.","very nice beds, and perfect location for us, practically at the AirPort",5.0,January 2023,"January 30, 2023",Deluxe Queen,2,Couple,8,1,1,0,0,0,0,0,1,1,0,0.0007255565524485154
"Perfectly fine, great to be so close to the airport for an early morning flight.","Would be nice to have some literature in the room about restaurants, hours, tv guide (esp. foreign language), other amenities that might be available.","Location was good.   Quick registration.  Clean room, well appointed.",9.0,July 2022,"July 14, 2022",Deluxe Queen,1,Solo traveler,8,1,1,0,0,0,0,0,1,1,0,0.0007255565524485154
Fair,We had to take a taxi to the hotel from terminal 2 because no one could tell us how to get there.  There is a train that runs from terminal 2 to 1 but it’s challenging to find. From terminal 1 it’s an easy walk over the catwalk. The rooms in the 2nd tower were older and worn and I don’t think worth the price. Breakfast was fine but overpriced. I would NOT walk around outside!,The location is great if you arrive in terminal 1; if you arrive in terminal 2 it is very difficult to find the first time.  We stayed one night in a very nice room and the 2nd night in a different tower that was very worn and challenging to get to. There is an airport shuttle from hotel to airport but it is not communicated.,5.0,December 2022,"December 29, 2022",Deluxe King,1,Couple,8,1,1,0,0,0,0,0,1,1,0,0.0007255565524485154
Frustrating.,"After a long day of travel, it took us 2 hours to checkin. The checkin line extended to the restaurants. We did not get to our room until 11:20pm. No explanation given to anyone while in line.",The location is perfect. The rooms are always clean and comfortable.,3.0,December 2023,"January 5, 2024",Deluxe Queen,1,Couple,8,1,1,0,0,0,0,0,1,1,0,0.0007255565524485154
