Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Good for central London.,"while there were no issues this was pretty much a standard chain hotel but because this is a Zone 1/2 London hotel pricing is the price elsewhere you would be paying for a high end chain hotel, Comparatively to other Chain hotels in a similar area of London this hotel is good value still doesn't change the fact that most places in the UK I could get nearly an entire week for the price of 2 nights here.","decent wifi and reliable, decent sized room, room in good repair, staff friendly, good location for what I needed and public transport links, decent tv and selection on tv",7.0,April 2024,"May 5, 2024",Standard Double Room,2,Solo traveler,8,0,0,0,0,0,0,0,0,1,1
"Great location, clean convenient hotel, with helpful, pleasant staff",Nothing at all,Really polite helpful staff. Breakfast was marvellous lots of choices,9.0,April 2024,"May 3, 2024",Standard Double Room,1,Solo traveler,8,0,0,0,0,1,0,1,0,0,0
Wonderful,"Would have liked an extra chair in our room. Only one chair for 2 people. Also, no fridge.","Very clean, efficient and good value for money.",9.0,April 2024,"May 1, 2024",Standard Twin Room,2,Family,8,0,0,0,0,0,0,0,0,0,0
Good location for a fair price,Breakfast was the same everyday.,Train station was easy to locate from hotel.,8.0,April 2024,"April 24, 2024",Standard Twin Room,4,Group,8,0,0,0,0,0,0,0,1,0,0
Fabulous stay really enjoyed ourselves,Shame we couldn't have our breakfast as we had to leave earlier to get underground and get on train in morning,Location was fabulous from train station to apollo all within walking distance,9.0,March 2024,"April 23, 2024",Standard Double Room,1,Family,8,0,0,0,0,0,0,0,1,1,0
Perfect for a weekend trip,The breakfast was a little simple and could have had a better selection.,"Great location on a high street with several shops and places to eat. Spacious room with decent standard. TV, iron and ironing board, tea, coffee and kettle. Our room was wheelchair accessible. I wish there would have been a mini fridge.",8.0,April 2024,"April 22, 2024",Standard Double Room - Disability Access,2,Couple,8,1,0,0,0,0,0,0,1,1,0
Excellent location staff friendly,The shower was a little temperamental,Breakfast was excellent and we were in an excellent location for our concert,8.0,March 2024,"April 19, 2024",Standard Double Room,2,Couple,8,0,1,0,0,0,0,1,0,1,0
Great value Hotel with easy access to the Apollo and the City,Nothing,"Great Location, easy 10 min walk to the Apollo and access to the Tube if you want to go into the City. Hotel attached to a Weatherspoon's so always somewhere to go for a cheap drink.  Hotel staff were exceptional friendly, room was clean and bed comfortable.",9.0,April 2024,"April 15, 2024",Standard Double Room,1,Couple,8,0,0,0,0,0,0,0,0,1,0
Great trip to London,Very small thing but juice at breakfast would be nice cold,Perfect location for a gig at the Apollo and close to the tube to visit central London. Lots of shops and restaurants near by. Breakfast was delicious and lots of variety to choose from. We had everything we would need.,8.0,April 2024,"April 15, 2024",Standard Double Room,2,Couple,8,0,0,0,0,0,0,1,1,1,0
Very Good,I'm vegan no hot food in the breakfast other than toast and beans,Brilliant location for going to Hammersmith apollo and also in to Central London,8.0,March 2024,"April 14, 2024",Standard Double Room,1,Solo traveler,8,0,0,0,0,0,0,0,1,1,0
Very happy,No draught lagar,"Very good, comfortable bed clean and friendly staff",9.0,April 2024,"April 12, 2024",Standard Double Room with Sofa Bed,2,Family,8,1,0,0,0,1,0,0,0,0,0
Great hotel friendly helpful staff great location,No fridge,Staff very friendly helpful 😁,8.0,April 2024,"April 9, 2024",Standard Twin Room,7,Family,8,0,0,0,0,1,0,0,0,0,0
Lovely weekend stay in London,"We wish the floor tiles in the bathroom would be fixed as they were almost lifting under our feet when we were walking. The breakfast doesn’t offer much options. I would love to see some fresh fruit/veggies, waffles/pancakes, cheese or boiled eggs, but unfortunately there were none of these options.","We loved the location the most. It’s a nice part of London and the hotel is close to 2 underground stations which is super. The breakfast was ok, but could be better. We loved that they have an option to order vegan sausages. The staff was lovely and helpful.",8.0,April 2024,"April 9, 2024",Standard Double Room with Sofa Bed,3,Family,8,0,1,0,0,1,0,1,1,1,1
Nice clean hotel with bizarre parking policy!,"Outsourced parking. Their parking camera cannot add up. Apparently, it counts 24 hours everytime you drive in front of the camera. This is bizazare! You will have to pay 25 quid everytime you drive in within a 24-hour period. This is daylight robbery. Do not book the hotel if you are planning to drive there. Efferctively you are locked into the room once you drive there to check in. Not sure who is driving this draconian policy. But I have not seen this in other hotels owned by the same chain in London!","Nice location, clean hotel. Helpful staff.",7.0,April 2024,"April 8, 2024",Standard Double Room,1,Couple,8,0,0,0,0,1,0,0,0,1,0
"Clean and good located, size of rooms realy small",Size of room,Location,8.0,March 2024,"April 7, 2024",Standard Double Room with Sofa Bed,6,Family,8,0,0,0,0,0,0,0,0,1,0
Very Good,"The original room we were given, ground floor was very noisy from the trains, the glasses and mugs were vibrating.
But we got moved quickly to the second floor which was a lot quieter.","Lovely staff, clean room, great location",8.0,April 2024,"April 4, 2024",Standard Double Room with Sofa Bed,1,Family,8,0,0,0,0,0,0,0,0,1,0
Wonderful,Would have liked some food options at other times of the day (bar snacks maybe) Would have been nice to have maybe an informative flyer in the room with taxi numbers & recommended eating places.,"Easy to find, short walk from tube station. Short walk to Eventim Apollo. Fantastic buffet style breakfast bar with something to suit every possible taste.",9.0,March 2024,"April 3, 2024",Standard Twin Room,1,Group,8,0,1,0,0,0,0,1,1,1,0
Very Good,Breakfast was not so good :),,8.0,April 2024,"April 2, 2024",Standard Double Room,1,Couple,8,0,0,0,0,0,0,0,1,0,0
Great location great value for money.,Nothing good value for money,"Convenient for where we wanted, kind staff, good facilities.",8.0,March 2024,"March 31, 2024",Standard Double Room,1,Couple,8,1,0,0,0,1,0,0,0,0,0
Competetively priced stay in useful location,Could not find hairdryer. Breakfast had no vegetables or any kind of salad. Interior a bit wearing off.,"Comfy room, clean and nice. Tea and coffee available any time. Good choice of groceries and restaurants nearby. Tube and Eventim Apollo concert hall within 10 minutes walk. Good price.",9.0,March 2024,"March 30, 2024",Standard Twin Room,2,Family,8,0,0,0,0,0,0,1,1,1,0
Good,"Our room had a noise coming from the fan and it's quite loud, and the hair dryer is dead","Location, free breakfast, water and coffee",7.0,March 2024,"March 29, 2024",Standard Double Room with Sofa Bed,3,Family,8,0,0,0,0,0,0,1,0,1,0
Wonderful,,"Clean rooms, friendly staff and great breakfasts",9.0,March 2024,"March 28, 2024",Standard Twin Room,2,Group,8,0,0,0,0,0,0,1,0,0,0
Wonderful,Nothing,"For what we planned, it was the perfect location, breakfast was included and ok for what we paid 
It was also clean and comfortable",9.0,March 2024,"March 26, 2024",Standard Twin Room,1,Group,8,0,0,0,0,0,0,1,0,1,0
"Great location, good amenities, great breakfast.","Our room was generally very quiet although the room doors bang shut which is a bit annoying.
If I was being picky, I would say that the bathroom was a little dated and showing signs of wear but the shower had excellent water pressure.","The hotel is very well situated, only a 10 minute walk to the Eventim Appolo where we had a show that night.
Staff were friendly and the room was comfortable with all the amenities you could need. Breakfast was plentiful and delicious.",7.0,March 2024,"March 26, 2024",Standard Twin Room,1,Couple,8,0,1,0,0,0,0,1,0,1,0
Great find in the area,"Everything was good and efficient 
No real concerns.","Very good location to our reason for being there the hammersmith apollo.
Easy transport to near hotel. Ice area lots of facilities and shops ...resturants around East to walk around felt safe.
Clean room comfy bed 4th floor good view of skyline quiet, easy to find, friendly staff good breakfast all good 👍",9.0,March 2024,"March 24, 2024",Standard Double Room,1,Couple,8,0,0,0,0,0,0,1,0,1,0
