Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
We were made to feel welcome and really enjoyed our stay.,Nothing to dislike,"Good location, friendly staff, clean rooms with ample room. Great breakfast.",9.0,December 2023,"December 12, 2023",Twin Room,3,Group,8.9
"Great stay in ideal location with excellent room, staff and breakfast. Would recommend.",N/A,"Excellent breakfast.
Superb location. 1 minute from old town bars etc but still quiet at night.",10,December 2023,"December 11, 2023",King Room,7,Couple,8.9
I would definitely stay there again! Good value for money and can’t beat the location.,"The breakfast was too crowded so there was nowhere to sit at first and the waiters struggled to keep up with demand for replenishing the food, bowls, cups, plates and cutlery. I hung our towels up in the room as there was a sign to say hang them if you don’t need them washed (and we had only used them once); however they were taken away as well as our bath mat and not replaced. I called down to reception to ask for some towels and was brought just bath towels so asked for two hand towels too and then didn’t have the heart to ask for a bath mat too so we did without!","Clean, well situated and very friendly and helpful staff. Best range of food I have seen at a buffet breakfast and as a health conscious vegetarian I particularly appreciated the selection of chia seeds etc to put with the Greek yogurt.",8.0,December 2023,"December 7, 2023",Queen Room,2,Family,8.9
Lovely hotel in excellent location,-,-,10,November 2023,"December 7, 2023",Queen Room,2,Solo traveler,8.9
"Vibrant area, quiet accommodation",None,"Location is amazing, just at the entrance to the old city and most crowded area, and yet,When you close the window it all quickly.
relaxing design and good general vibe.",10,December 2023,"December 3, 2023",King Room,2,Couple,8.9
Great stay definitely recommend,,Location fabulous,9.0,November 2023,"November 28, 2023",Twin Room,2,Group,8.9
Exceptional,Nothing,"Room, Internet, breakfast",10,November 2023,"November 28, 2023",Twin Room,1,Family,8.9
Wonderful,,"Perfect location, lots of eating places around. Transport readily avaliable",9.0,November 2023,"November 28, 2023",Queen Room,2,Couple,8.9
We had a very pleasant stay,,It has a self laundry area in the hot. Secure and clean room. Helpful staff. Good location to walk around old town area.,10,November 2023,"November 26, 2023",King Room,2,Couple,8.9
Very Good,,"Staff were excellent. My room was spotless every evening when I returned. 
Majority of staff very friendly and helpful. Great cocktails  in the bar. Really good options for breakfast and lunch.",8.0,November 2023,"November 26, 2023",Queen Room,1,Solo traveler,8.9
Stayed for work about closeness to Old Town and everything else made it feel like vacation.,?,Room was huge with a great view. Bed was comfy and sheets & pillows were great.  Staff was wonderful.,9.0,November 2023,"November 24, 2023",King Room,1,Solo traveler,8.9
Exceptional,,All is perfect 🤩,10,November 2023,"November 20, 2023",Queen Room,1,Family,8.9
Exceptional,,"The room was good quality and value for money. The staff were kind and helpful. It's a very central location near the top sights - old town, palace of the parliament, Universitate, Calea Victoriei and more.",10,November 2023,"November 18, 2023",Queen Room,1,Family,8.9
Exceptional,,Located in the centre os bukarest. Exceptional breakfast! Very comfortable room! Staff is very helpful and friendly! I recommend it!,10,November 2023,"November 16, 2023",Queen Room,2,Solo traveler,8.9
Wonderful,was very cold at the bathroom (no way how to heat it up) and the fact you pay for proper coffee (from the bar) at the breakfast,"great location, nice breakfast",9.0,November 2023,"November 15, 2023",King Room,1,Group,8.9
"Perfect location, lovely hotel, worth the money",Nothing,Location,10,November 2023,"November 14, 2023",Twin Room,2,Group,8.9
I was super-comfy there and didn't want to leave!!  :-),Business center was kind of non-existent. There was a computer there with a printer but it was unclear how to use it.  So I had to ask Mihi at the front desk and he told me to send my document to him and he printed out four copies of something very important in just a few minutes... extremely timely.,People were great. Very helpful and kind.  Room was super-comfy and spatious with a great view.  Breakfast was great. Location was great.,9.0,November 2023,"November 13, 2023",Deluxe King Room with City View,5,Group,8.9
Work trip … felt very at home at Hilton Garden and I don’t want to leave!!,Nothing!,"Nice people, super clean, comfortable bed, great breakfast, great location.",10,November 2023,"November 11, 2023",Deluxe King Room with City View,3,Solo traveler,8.9
One of the best hotel in my life!,,Everything,9.0,November 2023,"November 11, 2023",Queen Room,3,Solo traveler,8.9
"If you like anything to be near you, just book it!!",,Top hotel with great location!!,10,November 2023,"November 6, 2023",Queen Room,3,Group,8.9
Bucharest Hilton Garden Inn,There was nothing I didn't like,"Location, friendly and efficient staff,exceptionally clean and well maintained.",10,November 2023,"November 4, 2023",King Room,4,Family,8.9
Wonderful,Actually everything was good.,Location was perfect. The room was very clean and the size room really good. I was afraid of noisy from the outside but I had no issue in this matter.,9.0,October 2023,"November 2, 2023",Queen Room,1,Solo traveler,8.9
