Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Very Good,,"I liked it. The serving was good. They offer fresh fruits everyday. They have also gluten-free bread.
They clean the rooms everyday.",8.0,May 2023,"May 18, 2023",Standard Double Room,4,Group,8
Wonderful,,"Every day, towels and bed linen were changed and the rooms were cleaned. Very good and varied breakfast. Fresh fruits, coffee, tea, pancakes, pasteis de nata. All you need.",9.0,May 2023,"May 15, 2023",Standard Double Room,4,Group,8
Wonderful,"The room was small. Not a super fancy place, but perfect for being out and traveling- we were only there to sleep.","LOCATION 
loved that it was out of the way of the chaos, but so close to the metro to get into the center. 
there was an amazing bakery in walking distance and a delicious local place for dinner.",9.0,May 2023,"May 13, 2023",Double Room with Extra Bed,2,Family,8
Very satisfied with our stay,we had to get used to walking up the hill but we managed just fine,"friendly and courteous staff , cleanliness , quiet fir a good night sleep and close to the metro station",9.0,May 2023,"May 12, 2023",Standard Double Room,10,Couple,8
"clean, good value place to stay in europe","I would have enjoyed a gym, but that is not what you get for slightly over 100 euro a night in lisbon!","Standard 'small' european room, but was functional.  5 minute walk from subway and grocery store.  Subway line is straight to city centre.  Staff was helpful and always engaging & smiling.",8.0,May 2023,"May 11, 2023",Standard Double Room,4,Couple,8
A great place to use as a base for visiting Lisbon. Would most certainly stay here again with pleasu,Aircraft were a little noisy. Not many restaurants in the surrounding area.,"The staff on reception were excellent, polite but friendly and made us feel very welcome. They explained everything very clearly.
Also the bar staff were great and we liked the availablity of food and drink at all hours.
The breakfast was really excellent with a huge choice of breads, cold meats and cheeses, fresh fruit, yoghurt, pastries. Beautifully presented and available from 6.30 to noon. 
Only a few minutes walk from the Praca de Espanha metro.
Comfortable bed.",9.0,May 2023,"May 9, 2023",Standard Double Room,4,Couple,8
Good value,,"Quite spacious, can open 2 luggages at the same time and still have some spaces for walking. Staffs are very friendly and helpful!",8.0,May 2023,"May 8, 2023",Standard Twin Room,2,Group,8
"I would stay again, thank you!",The rooms were absolutely basic. I could use an electric kettle and a small refrigerator. Some vegetables for breakfast would be nice.,"Excellent service at the reception, very helpful, patient, always ready to help.
Location very close to the metro station in beautiful, green area, some nice restaurants and grocery shops nearby.
Breakfast was very tasty with good variety of products, including cheese, ham, eggs, yogurts and cakes. Comfortable beds, spotlessly clean rooms.",9.0,April 2023,"May 7, 2023",Standard Double Room,5,Solo traveler,8
Close to bus station.,,Room was small but very neat. Bathroom was clean. The breakfast was self serve and delicious. The staff were very friendly and helpful. The hotel was close to the Sete Rios bus station which was important for us.,7.0,April 2023,"April 27, 2023",Standard Double Room,1,Family,8
"Very good location, very clean, very helpful staff",More choice on the restaurant menu.,The room was spotlessly clean; breakfast gave an excellent choice; all staff were friendly and helpful.,9.0,April 2023,"April 26, 2023",Standard Double Room,1,Couple,8
Wonderful,Hotel is a bit far from city centre,"Location is near several metro stations which kept us connected. Hotel was nice and quiet and reception staff were friendly. Restaurant is open 24/7 with limited choices at night, but food and drink provided were good!",9.0,April 2023,"April 24, 2023",Standard Double Room,5,Couple,8
Recommend for a quick stay in Portugal!,,The staff were friendly and kind. I called to ask questions over the phone and they were able to answer all my questions. The lady I spoke to over the phone was very sweet. The whole staff spoke English so that was helpful. They do luggage storage. The room is a decent size for the prize you pay. It was clean and the bathroom was a good size. There’s no air conditioner but it wasn’t extremely hot when we were there so it wasn’t a big issue. We also walked around the hotel and it felt safe. There was a mini park close by in the back. It’s the staff that makes this place worth it.,8.0,March 2023,"April 11, 2023",Standard Twin Room,1,Group,8
"Clean, quiet. Good location. Best suited for short stays.",Room size. It felt a bit cramped compared to another hotel on the same street.,Clean and quiet.,7.0,April 2023,"April 9, 2023",Standard Double Room,1,Solo traveler,8
Very Good,,"We really liked the great location, the comfortable room, and the excellent shower. The restaurant has great late-night food!",8.0,April 2023,"April 5, 2023",Standard Double Room,3,Couple,8
