Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Wonderful,,"Beeakfast is superb.
Gym is absolutely amazing. I have never seen a hotel gym so well equipped.",9.0,January 2023,"January 29, 2023",Standard King Room,2,Solo traveler,7.7
Wonderful,,location e staff,9.0,January 2023,"January 23, 2023",Standard King Room,1,Group,7.7
Wonderful,Nothing,"Nice Hotel
Spacious rooms
Clean bathrooms
Relaxing beds",9.0,January 2023,"January 17, 2023",Standard King Room,3,Solo traveler,7.7
central and with a nice gym and breakfast,"- the breakfast coffee is quite bad and cheap
- the pillows in the rooms are quite hard made of cheap material","- the gym is great. the Jacuzzi and the steam bath are really warm!
- the breakfast food has really a wide selection",8.0,January 2023,"January 8, 2023",Standard King Room,2,Solo traveler,7.7
Good,,ok,7.0,December 2022,"December 27, 2022",Standard King Room,1,Solo traveler,7.7
excellent stay,,"Location opposite Freedom Tower & Sky walk, main shops & restaurants out front & to the left,",9.0,December 2022,"December 24, 2022",Standard King Room,2,Couple,7.7
good for family,no comment,good for family,7.0,November 2022,"December 22, 2022",Standard King Room,1,Family,7.7
Good,the phone not working,quite area and clean room,7.0,December 2022,"December 12, 2022",Standard King Room,2,Solo traveler,7.7
good value for money,cleanliness,location,8.0,December 2022,"December 9, 2022",Standard King Room,1,Couple,7.7
the view was nice in the 5th level,"very old furnitures , sad dark passages inside , small lobby","near to the center , big window nice view",7.0,December 2022,"December 6, 2022",Junior Suite,2,Solo traveler,7.7
very good,,The location of the hotel perfect and the breakfast was great.,9.0,December 2022,"December 5, 2022",Standard Twin Room,1,Family,7.7
Good,"The furniture is old
Bathroom is old 
Water pressure is bad",The car parking,7.0,December 2022,"December 5, 2022",Standard King Room,1,Family,7.7
comfy,the price is a bit high,The location,8.0,December 2022,"December 3, 2022",Standard King Room,1,Solo traveler,7.7
lovely,the gym was not open Friday morning,The location and the gym,7.0,December 2022,"December 3, 2022",Standard King Room,3,Family,7.7
Very Good,,"very cooperative stuff 
thank you so much",8.0,October 2022,"November 24, 2022",Standard King Room,1,Group,7.7
Great location and breakfast for work meetings in center of Riyadh.,"My room was not cleaned for my 3 night stay.

insulation is not the best, I can hear everybody passing or talking outside my room","Breakfast selection was great
Good location",8.0,November 2022,"November 23, 2022",Standard King Room,3,Solo traveler,7.7
Wonderful,the price,Everything except the price,9.0,November 2022,"November 19, 2022",Standard Twin Room,1,Family,7.7
Very Good,The price was a little high.,"The cleaneness.
Room size was good.
Location.",8.0,October 2022,"October 31, 2022",Standard King Room,1,Solo traveler,7.7
Wonderful,the breakfast should be better,the comfortable room and bed,9.0,September 2022,"October 11, 2022",Junior Jacuzzi suite,1,Solo traveler,7.7
Good value.,"The property is really starting to show it's age. Wallpaper is peeling off. Still clean though. My room smelled of sewer for a few minutes here and there, like it was coming up from drain. The egg and waffle bar were great but the rest of breakfast was very average.","Big room, comfortable bed, best hotel fitness center. The omelette and waffle bar were good at breakfast. Location is really convenient.",7.0,September 2022,"September 15, 2022",Standard King Room,3,Solo traveler,7.7
